survey_id,dataset,variable,val_raw,value,notes,Questions,varcode,analysis
COG2009AIS,ir,sexbehav_marital,9,missing,,,,sexbehav
COG2011DHS,mr,circ_who,1,traditional practitioner,traditional,,,circ
COG2011DHS,mr,circ_who,2,family / friend,traditional,,,circ
COG2011DHS,mr,circ_who,3,health worker / professional,medical,,,circ
COG2011DHS,mr,circ_who,4,other,traditional,,,circ
COG2011DHS,mr,circ_who,8,don't know,,,,circ
COG2011DHS,mr,circ_who,9,missing,,,,circ
ETH2000DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
ETH2000DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
ETH2000DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
ETH2000DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
ETH2005DHS,mr,circ_status,0,no,0,,,circ
ETH2005DHS,mr,circ_status,1,yes,1,,,circ
ETH2005DHS,mr,circ_status,9,missing,,,,circ
GAB2000DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
GAB2000DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
GAB2000DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
GHA1998DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
GHA1998DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
GHA1998DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
GHA1998DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
GHA2003DHS,mr,circ_status,0,no,0,,,circ
GHA2003DHS,mr,circ_status,1,yes,1,,,circ
GHA2003DHS,mr,circ_status,9,missing,,,,circ
GHA2003DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
GHA2003DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
GHA2003DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
GHA2008DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
GHA2008DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
GHA2008DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
GHA2010MICS,mn,sexbehav_age,0,Never had intercourse,0,,,sexbehav
GHA2010MICS,mn,sexbehav_age,95,First time when started living with partner,,,,sexbehav
GHA2010MICS,mn,sexbehav_age,97,inconsistent,,,,sexbehav
GHA2010MICS,mn,sexbehav_age,98,DK,,,,sexbehav
GHA2010MICS,mn,sexbehav_age,99,Missing,,,,sexbehav
GHA2010MICS,mn,sexbehav_condom,1,Yes,1,,,sexbehav
GHA2010MICS,mn,sexbehav_condom,2,No,0,,,sexbehav
GHA2010MICS,mn,sexbehav_condom,9,Missing,,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,1,spouse,1,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,2,Cohabiting partner,2,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,3,Girlfriend,3,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,4,Ex-girlfriend,4,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,5,casual acquaintance,5,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,6,commercial sex worker,6,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,96,Other,,,,sexbehav
GHA2010MICS,mn,sexbehav_relationship,99,Missing,,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,1,spouse,1,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,2,Cohabiting partner,2,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,3,Girlfriend,3,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,4,Ex-girlfriend,4,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,5,casual acquaintance,5,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,6,commercial sex worker,6,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,96,Other,,,,sexbehav
GHA2010MICS,mn,sexbehav_other1,99,Missing,,,,sexbehav
GHA2010MICS,mn,sexbehav_partner_num,99,Missing,,,,sexbehav
GHA2011MICS,mn,sexbehav_age,0,Never had intercourse,0,,,sexbehav
GHA2011MICS,mn,sexbehav_age,95,First time when started living with partner,,,,sexbehav
GHA2011MICS,mn,sexbehav_age,97,inconsistent,,,,sexbehav
GHA2011MICS,mn,sexbehav_age,98,DK,,,,sexbehav
GHA2011MICS,mn,sexbehav_age,99,Missing,,,,sexbehav
GHA2011MICS,mn,sexbehav_condom,1,Yes,1,,,sexbehav
GHA2011MICS,mn,sexbehav_condom,2,No,0,,,sexbehav
GHA2011MICS,mn,sexbehav_condom,9,Missing,,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,1,spouse,1,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,2,Cohabiting partner,2,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,3,Girlfriend,3,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,4,Ex-girlfriend,4,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,5,casual acquaintance,5,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,6,commercial sex worker,6,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,96,Other,,,,sexbehav
GHA2011MICS,mn,sexbehav_relationship,99,Missing,,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,1,spouse,1,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,2,Cohabiting partner,2,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,3,Girlfriend,3,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,4,Ex-girlfriend,4,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,5,casual acquaintance,5,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,6,commercial sex worker,6,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,96,Other,,,,sexbehav
GHA2011MICS,mn,sexbehav_other1,99,Missing,,,,sexbehav
GHA2011MICS,mn,sexbehav_partner_num,99,Missing,,,,sexbehav
GIN1999DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
GIN1999DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
GIN1999DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
GIN1999DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
GIN2005DHS,mr,circ_status,0,no,0,,,circ
GIN2005DHS,mr,circ_status,1,yes,1,,,circ
GIN2005DHS,mr,circ_status,9,missing,,,,circ
GTM2015DHS,mr,circ_where,1,health center,medical,,,circ
GTM2015DHS,mr,circ_where,2,private clinic/professional,medical,,,circ
GTM2015DHS,mr,circ_where,3,ritual place,traditional,,,circ
GTM2015DHS,mr,circ_where,6,other home/place,traditional,,,circ
GTM2015DHS,mr,circ_where,8,dk,,,,circ
GTM2015DHS,mr,circ_where,9,missing,,,,circ
KEN1998DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
KEN1998DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
KEN1998DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
KEN1998DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
KEN2003DHS,mr,circ_status,0,no,0,,,circ
KEN2003DHS,mr,circ_status,1,yes,1,,,circ
KEN2003DHS,mr,circ_status,9,missing,,,,circ
KEN2003DHS,ir,sexbehav_marital,0,never in union,0,,,sexbehav
KEN2003DHS,ir,sexbehav_marital,1,currently in union/living with a man,1,,,sexbehav
KEN2003DHS,ir,sexbehav_marital,2,formerly in union/living with a man,2,,,sexbehav
KEN2003DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
KEN2008DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
KEN2008DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
