survey_id,dataset,variable,var_raw,var_label_raw,analysis,notes
MWI2010DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
NAM2000DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
NER1998DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
NGA2003DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
NGA2008DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
RWA2000DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
RWA2005DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
RWA2008DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
SEN1997DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
SEN2005DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
SLE2008DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
TGO1998DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
TZA1996DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
TZA1999DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
TZA2004DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
TZA2010DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
UGA1995DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
UGA2006DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
ZMB2007DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
ZWE1999DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
ZWE2005DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
BFA1999DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
BEN1996DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
CIV1998DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
GAB2000DHS,ir,sexbehav_paidsex,s523a,Received cash/gifts for sex,sexbehav,
GIN1999DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
KEN1998DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
KEN2008DHS,ir,sexbehav_paidsex,s640a,"Past 12 months, given or received money/gifts for sex",sexbehav,
KEN2014DHS,ir,sexbehav_paidsex,s626a,"Received money, gifts, or favors in return for sex",sexbehav,
LBR2007DHS,ir,sexbehav_paidsex,s639a,"Last 12 months, ever receive money, gifts, favors for sex",sexbehav,
MLI1996DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
NER1998DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
TGO1998DHS,ir,sexbehav_paidsex,v872,Receive money or gifts for sex,sexbehav,
TZA1996DHS,ir,sexbehav_paidsex,s520,"Received money, etc last sexl",sexbehav,
TZA2004DHS,ir,sexbehav_paidsex,s543,Paid/received money for sex last 12M,sexbehav,
UGA2006DHS,ir,sexbehav_paidsex,s639a,"Receive money, gifts or favours in exchange for sex",sexbehav,
BFA1999DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
BEN1996DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
CIV1998DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
CMR1998DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
GIN1999DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
KEN1998DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
MLI1996DHS,ir,sexbehav_sti,v857,Have sexual disease last 12 months,sexbehav,
NER1998DHS,ir,sexbehav_sti,v857,Have sexual disease last 12 months,sexbehav,
SEN1997DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
TGO1998DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
TZA1996DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
UGA1995DHS,ir,sexbehav_sti,v857,Have sexual disease last 12M,sexbehav,
_default_mics,bh,cluster_id,hh1,Cluster ID - birth history dataset,,
_default_mics,hh,cluster_id,hh1,Cluster ID - household dataset,,
_default_mics,mn,cluster_id,hh1,Cluster ID - man dataset,,
_default_mics,wm,cluster_id,hh1,Cluster ID - woman dataset,individual,
_default_mics,wm,dob,wdob,Date of birth - woman,individual,
_default_mics,wm,doi,wdoi,Date of interview - woman,individual,
_default_mics,hh,household,hh2,Household ID - household dataset,,
_default_mics,mn,household,hh2,Household ID - man dataset,,
_default_mics,wm,household,hh2,Household ID - woman dataset,individual,
_default_mics,mn,line,ln,Line number - man dataset,,
_default_mics,wm,line,ln,Line number - woman dataset,individual,
_default_mics,hh,survey_area,hh7,Geographic area,,
_default_mics,wm,weight,wmweight,Survey weight - woman,individual,
_default_mics,bh,household,hh2,Household ID - birth history dataset,,
_default_mics,bh,line,ln,Line number - birth history dataset,,
BDI2005MICS,hh,survey_area,hh1a,Geographic area,,
BDI2005MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
BDI2005MICS,wm,line,wm4,Line number - woman dataset,individual,
BFA2006MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
CAF2006MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
CIV2000MICS,hh,cluster_id,hi1,Cluster ID - household dataset,,
CIV2000MICS,wm,cluster_id,wiclno,Cluster ID - woman dataset,individual,
CIV2000MICS,wm,doi,cmcdoi,Date of interview - woman,individual,
CIV2000MICS,hh,survey_area,hi7,Geographic area,,
CIV2000MICS,hh,household,hi2,Household ID - household dataset,,
CIV2000MICS,wm,household,wihhno,Household ID - woman dataset,individual,
CIV2006MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
CMR2000MICS,hh,cluster_id,hi1,Cluster ID - household dataset,,
CMR2000MICS,wm,cluster_id,wiclno,Cluster ID - woman dataset,individual,
CMR2000MICS,wm,doi,cmcdoi,Date of interview - woman,individual,
_default_mics,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
CMR2000MICS,hh,survey_area,hi7,Geographic area,,
CMR2000MICS,hh,household,hi2,Household ID - household dataset,,
CMR2000MICS,wm,household,wihhno,Household ID - woman dataset,individual,
CMR2014MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
CMR2006MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
COD2017MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
KEN2009MICS,bh,bh_cdob_cmc,ccdob,Date of birth - child,birth_history,
KEN2011MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
CMR2014MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
CMR2014MICS,wm,household,wm2,Household ID - woman dataset,individual,
GMB2005MICS,hh,survey_area,hh7a,Geographic area,,
GMB2010MICS,hh,survey_area,hh7a,Geographic area,,
LSO2018MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
MWI2006MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
GMB2005MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
MWI2013MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
NGA2016MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
SWZ2010MICS,bh,bh_cdob_cmc,ccdob,Date of birth - child,birth_history,
SWZ2014MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
GMB2005MICS,wm,line,wm4,Line number - woman dataset,individual,
ZWE2009MICS,bh,bh_cdob_cmc,cm11ec,Date of birth - child,birth_history,
ZWE2014MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
KEN2009MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
ZWE2019MICS,bh,bh_cdob_cmc,bh4c,Date of birth - child,birth_history,
LSO2018MICS,hh,survey_area,hh7a,Geographic area,,
LSO2018MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
LSO2018MICS,wm,household,wm2,Household ID - woman dataset,individual,
MOZ2008MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
MWI2006MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
MWI2006MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
MWI2006MICS,hh,survey_area,hhdis2,Geographic area,,
MWI2006MICS,wm,household,wm2,Household ID - woman dataset,individual,
MWI2013MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
MWI2013MICS,wm,household,wm2,Household ID - woman dataset,individual,
NGA2007MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
SWZ2000MICS,hh,cluster_id,hi1,Cluster ID - household dataset,,
SWZ2000MICS,wm,cluster_id,wiclno,Cluster ID - woman dataset,individual,
SWZ2000MICS,wm,doi,cmcdoi,Date of interview - woman,individual,
SWZ2000MICS,hh,household,hi2,Household ID - household dataset,,
SWZ2000MICS,wm,household,wihhno,Household ID - woman dataset,individual,
SWZ2000MICS,hh,survey_area,hi7,Geographic area,,
SWZ2010MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
SWZ2010MICS,wm,household,wm2,Household ID - woman dataset,individual,
SWZ2010MICS,wm,line,wm4,Line number - woman dataset,individual,
SWZ2014MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
SWZ2014MICS,wm,household,wm2,Household ID - woman dataset,individual,
TGO2006MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
ZWE2009MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
ZWE2009MICS,wm,doi,cmcdoiw,Date of interview - woman,individual,
ZWE2009MICS,wm,household,wm2,Household ID - woman dataset,individual,
ZWE2009MICS,bh,line,wm4,Line number - birth history dataset,,
ZWE2014MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
ZWE2014MICS,wm,household,wm2,Household ID - woman dataset,individual,
ZWE2019MICS,wm,cluster_id,wm1,Cluster ID - woman dataset,individual,
ZWE2019MICS,wm,household,wm2,Household ID - woman dataset,individual,
SWZ2010MICS,mn,circ_age,mc2,Age at circumcision,circ,
SWZ2010MICS,mn,circ_status,mc1,Respondent is circumcised,circ,
_default_dhs,ir,bh_cdob_cmc,b3,Date of birth (CMC),birth_history,
_default_dhs,ir,bh_child_alive,b5,Child is alive,birth_history,
_default_dhs,ir,bh_child_sex,b4,Sex of child,birth_history,
_default_dhs,ir,bh_age_death,b7,"Age at death (months, imputed)",birth_history,
_default_dhs,ir,bh_breastfeeding,v404,Currently breastfeeding,birth_history,
_default_mics,bh,bh_child_alive,bh5,Still alive,birth_history,
_default_mics,bh,bh_child_sex,bh3,Sex of child,birth_history,
_default_mics,bh,bh_age_death,bh9c,Age at death months (imputed),birth_history,
MOZ2008MICS,bh,bh_child_sex,hn4,,birth_history,
MOZ2008MICS,bh,bh_child_alive,hn6,,birth_history,
MOZ2008MICS,bh,bh_cdob_cmc,ccdob,,birth_history,
SEN2017DHS,ir,sexbehav_condom,s713c,Condom used for last sex (male or female),sexbehav,
UGA1995DHS,ir,sexbehav_condom,s516,Condom used last time had sex,sexbehav,
_default_dhs,mr,sexbehav_time_intercourse,mv529,Time since last intercourse(imputed),sexbehav,
_default_dhs,mr,sexbehav_age,mv531,Age at first intercourse (imp),sexbehav,
_default_dhs,mr,sexbehav_partner_num,mv766b,No. had sex including husband in last 12 months,sexbehav,
_default_dhs,mr,sexbehav_relationship,mv767a,Relationship with last sex partner,sexbehav,
_default_dhs,mr,sexbehav_other1,mv767b,Relationship with other sex partner (1),sexbehav,
_default_dhs,mr,sexbehav_other2,mv767c,Relationship with other sex partner (2),sexbehav,
_default_dhs,mr,sexbehav_sti,mv763a,Had any STD in last 12 months,sexbehav,
_default_dhs,mr,sexbehav_sore,mv763b,Had genital sore/ulcer in last 12 months,sexbehav,
_default_dhs,mr,sexbehav_discharge,mv763c,Had genital discharge in last 12 months,sexbehav,
_default_dhs,mr,sexbehav_marital,mv501,Current marital status,sexbehav,
_default_dhs,mr,sexbehav_condom,mv761,Condom used during last sex with most recent partner,sexbehav,
GHA2011MICS,mn,sexbehav_age,ms1,Age at first intercourse,sexbehav,
GHA2011MICS,mn,sexbehav_condom,ms4,Condom used at last sexual intercourse,sexbehav,
GHA2011MICS,mn,sexbehav_relationship,ms5,Relationship to last sexual partner,sexbehav,
GHA2011MICS,mn,sexbehav_other1,ms10,Relationship to prior sexual partner,sexbehav,
GHA2011MICS,mn,sexbehav_partner_num,ms14,Number of sex partners in last 12 months,sexbehav,
GHA2010MICS,mn,sexbehav_age,ms1,Age at first intercourse,sexbehav,
GHA2010MICS,mn,sexbehav_condom,ms4,Condom used at last sexual intercourse,sexbehav,
GHA2010MICS,mn,sexbehav_relationship,ms5,Relationship to last sexual partner,sexbehav,
GHA2010MICS,mn,sexbehav_other1,ms10,Relationship to prior sexual partner,sexbehav,
GHA2010MICS,mn,sexbehav_partner_num,ms14,Number of sex partners in last 12 months,sexbehav,
SWZ2010MICS,mn,sexbehav_age,ms1,Age at first intercourse,sexbehav,
SWZ2010MICS,mn,sexbehav_condom,ms4,Condom used at last sexual intercourse,sexbehav,
SWZ2010MICS,mn,sexbehav_relationship,ms5,Relationship to last sexual partner,sexbehav,
SWZ2010MICS,mn,sexbehav_other1,ms10,Relationship to prior sexual partner,sexbehav,
SWZ2010MICS,mn,sexbehav_partner_num,ms14,Number of sex partners in last 12 months,sexbehav,
_default_mics,mn,sexbehav_marital,mmstatus,Marital status,sexbehav,
_default_mics,mn,sexbehav_age,msb1,Age at first intercourse,sexbehav,
_default_mics,mn,sexbehav_condom,msb4,Condom used at last sexual intercourse,sexbehav,
_default_mics,mn,sexbehav_relationship,msb5,Relationship to last sexual partner,sexbehav,
_default_mics,mn,sexbehav_other1,msb10,Relationship to prior sexual partner,sexbehav,
_default_mics,mn,sexbehav_partner_num,msb14,Number of sex partners in last 12 months,sexbehav,
TGO2017MICS,mn,sexbehav_condom,msb3,Utilisation de préservatif lors du dernier rapport sexuel,sexbehav,
TGO2017MICS,mn,sexbehav_relationship,msb4,Relationship to last sexual partner,sexbehav,
GMB2018MICS,mn,sexbehav_relationship,msb4,Relationship to last sexual partner,sexbehav,
GMB2018MICS,mn,sexbehav_other1,msb9,Relationship to prior sexual partner,sexbehav,
GMB2018MICS,mn,sexbehav_condom,msb3,Condom used at last sexual intercourse,sexbehav,
TGO2010MICS,mn,sexbehav_marital,mstatus,Marital status,sexbehav,
TGO2010MICS,mn,sexbehav_partner_num,sh11,Partenaires sexuels différents pendants les 12 derniers mois,sexbehav,
TGO2010MICS,mn,sexbehav_condom,sh4,Condom a été utilisé pendant la dernière fois d'avoir des rapports sexuels,sexbehav,
TGO2010MICS,mn,sexbehav_age,sh1,Age à la toute première fois d'avoir des rapports sexuels,sexbehav,
TGO2010MICS,mn,sexbehav_relationship,sh5,Relation avec la personne avec qui a eu des rapports sexuels,sexbehav,
TGO2010MICS,mn,sexbehav_other1,sh9,Relation avec cette personne,sexbehav,
_default_mics,wm,sexbehav_marital,mstatus,Marital status,sexbehav,
_default_mics,wm,sexbehav_age,sb1,Age at first intercourse,sexbehav,
_default_mics,wm,sexbehav_condom,sb4,Condom used at last sexual intercourse,sexbehav,
_default_mics,wm,sexbehav_relationship,sb5,Relationship to last sexual partner,sexbehav,
_default_mics,wm,sexbehav_other1,sb10,Relationship to prior sexual partner,sexbehav,
_default_mics,wm,sexbehav_partner_num,sb14,Number of sex partners in last 12 months,sexbehav,
_default_phia,phia,sexbehav_marital,curmar,"What is your marital status now: are you married, living together with someone as if married, widowed, divorced, or separated?",sexbehav,
_default_phia,phia,sexbehav_age,firstsxage,How old were you when you had sex for the very first time?,sexbehav,
_default_phia,phia,sexbehav_partner_num,part12monum,Number of people they had sex with in the last 12 months.,sexbehav,
_default_phia,phia,sexbehav_condom,partlastcndm1,The last time you had sex with [PARTNER'S NAME]  was a condom used?,sexbehav,
_default_phia,phia,sexbehav_relationship,partrelation1,What is your relationship with [PARTNER'S NAME] ?,sexbehav,
_default_phia,phia,sexbehav_other1,partrelation2,What is your relationship with [PARTNER'S NAME] ?,sexbehav,
_default_phia,phia,sexbehav_other2,partrelation3,What is your relationship with [PARTNER'S NAME] ?,sexbehav,
_default_dhs,ir,hivtest_evertest,v781,,,
TZA2012AIS,ir,circ_status,mv483,Respondent circumcised,circ,
TZA2012AIS,ir,circ_age,mv483a,Age at circumcision,circ,
TZA2012AIS,ir,circ_who,mv483b,Who performed the circumcision,circ,
TZA2012AIS,ir,circ_where,mv483c,Place where circumcision was done,circ,
_default_mics,mn,mics_area_name,hh7,MICS area level,,
SWZ2010MICS,mn,dob,mwdob,Date of birth of man (CMC),,
_default_mics,mn,dob,mwdob,Date of birth of man (CMC),,
SWZ2010MICS,mn,doi,mdoi,Date of interview men (CMC),,
_default_mics,mn,doi,mwdoi,Date of interview men (CMC),,
ZWE2009MICS,mn,cluster,wm1,cluster number,,
ZWE2014MICS,mn,cluster,wm1,cluster number,,
ZWE2019MICS,mn,cluster,wm1,cluster number,,
SWZ2000MICS,mn,cluster,wiclno,cluster number,,
SWZ2010MICS,mn,cluster,wm1,cluster number,,
SWZ2014MICS,mn,cluster,wm1,cluster number,,
LSO2018MICS,mn,cluster,wm1,cluster number,,
MOZ2008MICS,mn,cluster,hh1,cluster number,,
MWI2006MICS,mn,cluster,wm1,cluster number,,
MWI2013MICS,mn,cluster,wm1,cluster number,,
MWI2019MICS,mn,cluster,wm1,cluster number,,
NGA2016MICS,mn,cluster,hh1,cluster number,,
BDI2005MICS,mn,cluster,hh1,cluster number,,
BFA2006MICS,mn,cluster,hh1,cluster number,,
CIV2000MICS,mn,cluster,wiclno,cluster number,,
CIV2006MICS,mn,cluster,hh1,cluster number,,
CMR2000MICS,mn,cluster,wiclno,cluster number,,
CMR2006MICS,mn,cluster,hh1,cluster number,,
CMR2014MICS,mn,cluster,wm1,cluster number,,
COD2017MICS,mn,cluster,hh1,cluster number,,
KEN2009MICS,mn,cluster,hh1,cluster number,,
KEN2011MICS,mn,cluster,hh1,cluster number,,
NGA2007MICS,mn,cluster,hh1,cluster number,,
NGA2011MICS,mn,cluster,hh1,cluster number,,
TGO2010MICS,mn,cluster,hh1,cluster number,,
TGO2006MICS,mn,cluster,hh1,cluster number,,
TGO2017MICS,mn,cluster,hh1,cluster number,,
GMB2005MICS,mn,cluster,hh1,cluster number,,
GMB2010MICS,mn,cluster,hh1,cluster number,,
GMB2018MICS,mn,cluster,hh1,cluster number,,
MLI2009MICS,mn,cluster,hh1,cluster number,,
MLI2015MICS,mn,cluster,hh1,cluster number,,
COG2014MICS,mn,cluster,hh1,cluster number,,
TCD2010MICS,mn,cluster,hh1,cluster number,,
TCD2019MICS,mn,cluster,hh1,cluster number,,
BEN2014MICS,mn,cluster,hh1,cluster number,,
SLE2017MICS,mn,cluster,hh1,cluster number,,
